,Blockchain News,Cryptocurrency,Market,Day,Date,Open,High,Low,Close,Volume,daily_variance,daily difference,Trading_Volume,price_1month,price_2weeks_ago,price_1week_ago,price_2days_ago,price_1day_ago,price_1hour_ago,price_1hour_ahead,price_1day_ahead,price_2days_ahead,price_1week_ahead,price_2weeks_ahead,price_1month_ahead
34,4757,2624,10620,2018-06-04,2018-06-04 23:00:00,7505.01,7506.31,7462.03,7500.0,97.89995487,44.280000000000655,5.010000000000218,734249.661525,-30.837466666666657,-11.942799999999988,5.358533333333337,-1.913600000000006,-2.799866666666664,-0.06680000000000291,0.002933419380305218,-1.445466491458607,-2.062306654670391,9.043326548415237,11.754152784317467,13.917359790513565
35,6377,4999,14009,2018-06-03,2018-06-03 23:00:00,7710.03,7718.27,7696.0,7709.99,43.83614472,22.270000000000437,0.03999999999996362,337976.2374297528,-25.698866016687454,-10.443333908344892,4.680550817835042,2.451105643457379,0.8621282258472365,-0.0005188074173891746,-0.10378336356569341,2.799866666666664,1.313929040735871,13.884638109305758,19.639529199996886,18.462869294261537
36,6128,3735,13830,2018-06-02,2018-06-02 23:00:00,7623.0,7645.14,7622.99,7643.52,9.431151977999999,22.150000000000546,-20.520000000000437,72087.19876688256,-27.26466340115548,-7.803865234865609,4.059909570459691,2.0760068659465833,1.6027955706271482,0.2684626978146251,-0.14344503233391553,-0.8621282258472365,1.913600000000006,1.8913197647447773,17.830814908908174,15.546028573890464
37,6666,4481,16807,2018-04-07,2018-04-07 23:00:00,6934.48,6935.98,6855.82,6895.99,79.40843098,80.15999999999985,38.48999999999978,547599.7459537702,-34.79964443103892,-23.84487216483783,-0.3554239492806721,1.7254955416118611,4.394582938780366,-0.5581504613550743,-0.8558669948472674,-1.804571448099888,1.8458103000881636,-13.779324261978202,-22.690695067264578,-26.340317625796306
38,1394,760,3362,2018-04-06,2018-04-06 23:00:00,6550.0,6592.94,6539.28,6592.94,82.39777186,53.659999999999854,-42.9399999999996,543243.5660066684,-49.9218861388091,-35.37207983084937,-3.72777546891069,-3.0543278112647894,-2.7917742312231026,0.6513027571917779,0.0,-4.394582938780366,-6.119850997903955,-16.29011902071372,-25.4788308445621,-31.32268320020667
39,2342,1293,8401,2018-04-05,2018-04-05 23:00:00,6821.43,6839.99,6766.4,6777.0,105.014975,73.59000000000015,44.43000000000029,711686.485575,-57.8407850081157,-28.529437804338208,-4.568393094289514,-9.46628301608381,-0.25542275343072746,-0.6555998229305045,-0.4241926454663385,2.7917742312231026,-1.7254955416118611,-14.43603155905202,-18.04626751962076,-30.9372137033123
40,5359,3051,15973,2018-04-04,2018-04-04 23:00:00,6758.51,6826.89,6716.51,6794.31,226.78759680000005,110.38000000000011,-35.80000000000018,1540865.2368142083,-67.78760462799018,-31.029199433055016,-16.89001532164413,-3.76314887015752,-9.187393569030547,0.5269114891725603,1.609769885458686,0.25542275343072746,3.0543278112647894,-2.091238041164763,-16.80776294845108,-29.893193635162007
41,2766,1445,6406,2018-04-03,2018-04-03 23:00:00,7397.75,7438.75,7375.49,7418.53,274.7398834,63.26000000000022,-20.779999999999745,2038166.0671994018,-54.57496296436087,-20.02687864037754,-5.067445976494,8.189088673901693,4.967830554031593,0.28010940172783216,0.2077494039699332,9.187393569030547,9.46628301608381,8.606024583204007,-5.979113595173827,-23.736520174762273
42,4571,2252,10678,2019-01-27,2019-01-27 23:00:00,3540.25,3540.25,3526.34,3529.63,27.114173916,13.909999999999854,10.61999999999989,95703.00167913108,-10.187186758952063,0.44055609228163234,-0.10935990457922425,-0.8887617115674982,-0.8091499675603375,-0.3008813955003751,0.10720819093268859,2.9136659183019007,3.950534385317004,3.3267076308771495,-3.223834108811939,-7.114755565146217
43,4444,1995,11422,2019-01-26,2019-01-26 23:00:00,3565.32,3567.02,3558.19,3558.19,40.3032648017,8.829999999999927,7.130000000000109,143406.67378476093,-0.8566153015999712,-1.7039562249345905,-3.6200989829098487,-0.33893636933384513,-0.07897273613831597,-0.20038277888477313,-0.022759202023038647,0.8091499675603375,3.746391812694995,2.569283898231801,-1.8189293371338087,-6.860004292901534
